,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,LotSize_2,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door
0,https://www.zillow.com/homedetails/5414-S-Wood-St-Chicago-IL-60609/2137158485_zpid/,"239,500","5414 S Wood St,"," Chicago, IL 60609",Multi Family,1910,,--, 6, 2, 2,,,,,,,,,,,,,,,," Full,Unfinished",," Natural Gas, Forced Air",,,,
1,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-5308-Chicago-IL-60613/65561300_zpid/,"199,900","655 W Irving Park Rd APT 5308,"," Chicago, IL 60613",Condominium,1973,,800, 1, 1, 1,, Main, 63 ,,,,,," Windows(None),Flooring(Hardwood)", Main, 240 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood, Forced Air," Central Air, Zoned"," Range, Dishwasher, Refrigerator",,
2,https://www.zillow.com/homedetails/5414-S-Wood-St-Chicago-IL-60609/2137158485_zpid/,"239,500","5414 S Wood St,"," Chicago, IL 60609",Multi Family,1910,,--, 6, 2, 2,,,,,,,,,,,,,,,," Full,Unfinished",," Natural Gas, Forced Air",,,,
3,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-5308-Chicago-IL-60613/65561300_zpid/,"199,900","655 W Irving Park Rd APT 5308,"," Chicago, IL 60613",Condominium,1973,,800, 1, 1, 1,, Main, 63 ,,,,,," Windows(None),Flooring(Hardwood)", Main, 240 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood, Forced Air," Central Air, Zoned"," Range, Dishwasher, Refrigerator",,
4,https://www.zillow.com/homedetails/1368-N-Geneva-Dr-UNIT-2A-Palatine-IL-60074/80818123_zpid/,"105,000","1368 N Geneva Dr UNIT 2A,"," Palatine, IL 60074",Condominium,1990,,--, 2, 1, 1,, Second, 96 ," Eating Area-Breakfast Bar, Eating Area-Table Space",,,,," Windows(None),Flooring(Carpet)", Second, 216 , Separate," Windows(All),Flooring(Carpet)", Second,, None,, Electric, 2 (Window/Wall Unit)," Range, Dishwasher, Refrigerator", Storage,
5,https://www.zillow.com/homedetails/5757-N-Sheridan-Rd-APT-7A-Chicago-IL-60660/3694680_zpid/,"325,000","5757 N Sheridan Rd APT 7A,"," Chicago, IL 60660",Condominium,1968,,"1,500", 3, 2, 2,, Main, 198 , Eating Area-Breakfast Bar,,,,, Flooring(Other), Main, 221 , Combined w/ LivRm, Flooring(Other), Main,, None, Wood Laminate Floors," Natural Gas, Radiators", 3+ (Window/Wall Unit)," Range, Microwave, Dishwasher, Refrigerator, Stainless Steel Appliance(s), Wine Refrigerator"," Elevator, Storage, Lobby",
6,https://www.zillow.com/homedetails/3413-W-123rd-Pl-Alsip-IL-60803/4102388_zpid/,"204,900","3413 W 123rd Pl,"," Alsip, IL 60803",Single Family Residence,1967,"6,011 sqft","1,166", 3, 1, 1,, Main, 190 , Eating Area-Table Space,,,,,,, 285 ,, Flooring(Carpet), Main,," Full,Finished",," Natural Gas, Forced Air", Central Air," Range, Dishwasher, Refrigerator",,
7,https://www.zillow.com/homedetails/16019-Laurel-Dr-Orland-Park-IL-60462/4193051_zpid/,"229,900","16019 Laurel Dr,"," Orland Park, IL 60462",Townhouse,1995,No Data,"1,496", 2, 2, 1, 1, Main, 153 ," Galley, Pantry-Closet", Flooring(Other), Basement, 400 ,," Windows(All),Flooring(Hardwood)", Main, 234 ,," Windows(All),Flooring(Hardwood)", Main,," Full,Finished"," Hardwood, Wood Laminate Floors"," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer"," Vaulted/Cathedral Ceilings, Walk-In Closet(s)",
8,https://www.zillow.com/homedetails/10321-S-Green-Bay-Ave-Chicago-IL-60617/4169097_zpid/,"160,000","10321 S Green Bay Ave,"," Chicago, IL 60617",Single Family Residence,1971,"3,136 sqft","1,040", 3, 1, 1,, Main, 81 ,,, Basement, 300 ,,, Main, 96 ,,, Main,," Full,Partially Finished",," Natural Gas, Forced Air", Central Air,,,
9,https://www.zillow.com/homedetails/1224-W-Van-Buren-St-APT-806-Chicago-IL-60607/2132155803_zpid/,"299,900","1224 W Van Buren St APT 806,"," Chicago, IL 60607",Condominium,1946,,"1,048", 2, 2, 1, 1, Main, 81 ,,,,,, Flooring(Hardwood), Main, 228 ,,, Main,, None,, Natural Gas, Central Air,,,
10,https://www.zillow.com/homedetails/2929-N-Lincoln-Ave-APT-3-Chicago-IL-60657/87691844_zpid/,"568,000","2929 N Lincoln Ave APT 3,"," Chicago, IL 60657",Condominium,2006,,"1,561", 3, 2, 2,, Main, 160 ," Eating Area-Breakfast Bar, Pantry-Closet",,,,," Windows(Curtains/Drapes),Flooring(Hardwood)", Main, 252 , Combined w/ LivRm," Windows(Curtains/Drapes),Flooring(Hardwood)", Main,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Gas Cooktop, Humidifier"," Walk-In Closet(s), 9' Ceiling",
11,https://www.zillow.com/homedetails/5300-S-Shore-Dr-APT-21-Chicago-IL-60615/2070488904_zpid/,"389,000","5300 S Shore Dr APT 21,"," Chicago, IL 60615",Condominium,1920,,"3,500", 4, 3, 3,, Main, 132 ,,,,,, Flooring(Hardwood), Main, 300 ,, Flooring(Hardwood), Main,, None,, Natural Gas, 3+ (Window/Wall Unit),,,
12,https://www.zillow.com/homedetails/26-E-14th-Pl-APT-5W-Chicago-IL-60605/2091877713_zpid/,"670,000","26 E 14th Pl APT 5W,"," Chicago, IL 60605",Townhouse,2004,No Data,"2,700", 3, 4, 3, 1, Second, 120 ," Custom Cabinetry, Updated Kitchen"," Windows(Curtains/Drapes),Flooring(Hardwood)", Third, 204 ,, Flooring(Hardwood), Second, 238 ," Separate, Kitchen/Dining Combo", Flooring(Hardwood), Second,, None, Hardwood," Natural Gas, Zoned"," Central Air, Zoned, Dual"," Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Range Hood, Gas Cooktop, Gas Oven, Humidifier", Vaulted/Cathedral Ceilings," Lever Style Door Handles, Pocket Door(s)"
13,https://www.zillow.com/homedetails/26-E-14th-Pl-APT-5W-Chicago-IL-60605/2091877713_zpid/,"670,000","26 E 14th Pl APT 5W,"," Chicago, IL 60605",Townhouse,2004,No Data,"2,700", 3, 4, 3, 1, Second, 120 ," Custom Cabinetry, Updated Kitchen"," Windows(Curtains/Drapes),Flooring(Hardwood)", Third, 204 ,, Flooring(Hardwood), Second, 238 ," Separate, Kitchen/Dining Combo", Flooring(Hardwood), Second,, None, Hardwood," Natural Gas, Zoned"," Central Air, Zoned, Dual"," Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Range Hood, Gas Cooktop, Gas Oven, Humidifier", Vaulted/Cathedral Ceilings," Lever Style Door Handles, Pocket Door(s)"
