,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,LotSize_2,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door
0,https://www.zillow.com/homedetails/5415-N-Sheridan-Rd-APT-3402-Chicago-IL-60640/3700466_zpid/,"194,500","5415 N Sheridan Rd APT 3402,"," Chicago, IL 60640",Condominium,1971,,820, 1, 1, 1,, Main, 70 , Eating Area-Breakfast Bar,,,,,, Main, 180 , Combined w/ LivRm,, Main,, None,, Electric, Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s)"," Storage, Lobby",
1,https://www.zillow.com/homedetails/85-S-Stonington-Dr-273-Palatine-IL-60074/3268904_zpid/,"255,000","85 S Stonington Dr #273,"," Palatine, IL 60074",Condominium,1985,,"1,474", 2, 2, 2,, Second, 286 , Eating Area-Table Space,,,,," Windows(Blinds),Flooring(Hardwood)", Second, 408 , Separate," Windows(Blinds),Flooring(Carpet)", Second,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s)"," Vaulted/Cathedral Ceilings, Storage, Walk-In Closet(s)",
2,https://www.zillow.com/homedetails/10625-Parkside-Ave-APT-5-Chicago-Ridge-IL-60415/4090110_zpid/,"190,900","10625 Parkside Ave APT 5,"," Chicago Ridge, IL 60415",Condominium,No Data,,800, 2, 1, 1,, Main, 176 ,,,,,,,, 240 ,,, Main,, None,, Baseboard, 3+ (Window/Wall Unit),,,
3,https://www.zillow.com/homedetails/10625-Parkside-Ave-APT-5-Chicago-Ridge-IL-60415/4090110_zpid/,"190,900","10625 Parkside Ave APT 5,"," Chicago Ridge, IL 60415",Condominium,No Data,,800, 2, 1, 1,, Main, 176 ,,,,,,,, 240 ,,, Main,, None,, Baseboard, 3+ (Window/Wall Unit),,,
4,https://www.zillow.com/homedetails/8970-N-Parkside-Ave-APT-305-Des-Plaines-IL-60016/2070201897_zpid/,"139,900","8970 N Parkside Ave APT 305,"," Des Plaines, IL 60016",Condominium,1977,,800, 1, 1, 1,, Main, 81 , Galley,,,,, Flooring(Carpet), Main, 252 , Combined w/ LivRm, Flooring(Carpet), Main,, None,," Steam, Baseboard", 1 (Window/Wall Unit)," Range, Dishwasher, Refrigerator, Disposal",,
5,https://www.zillow.com/homedetails/2900-225th-St-Chicago-Heights-IL-60411/2077726688_zpid/,"115,900","2900 225th St,"," Chicago Heights, IL 60411",Single Family Residence,1973,"6,599 sqft","1,073", 4, 1, 1,, Main, 104 ,,,,,,,, 154 ,,, Main,, None,, Natural Gas, None,,,
6,https://www.zillow.com/homedetails/9551-Shermer-Rd-Morton-Grove-IL-60053/3473444_zpid/,"375,000","9551 Shermer Rd,"," Morton Grove, IL 60053",Single Family Residence,1955,"10,428 sqft","1,421", 3, 2, 2,, Main, 253 ,, Flooring(Hardwood), Main, 234 ,,, Main, 204 , Combined w/ LivRm, Flooring(Wood Laminate), Main, 0 , None,," Natural Gas, Forced Air", Central Air," Double Oven, Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Humidifier", 1st Floor Full Bath,
7,https://www.zillow.com/homedetails/5414-S-Wood-St-Chicago-IL-60609/2137158485_zpid/,"239,500","5414 S Wood St,"," Chicago, IL 60609",Multi Family,1910,,--, 6, 2, 2,,,,,,,,,,,,,,,," Full,Unfinished",," Natural Gas, Forced Air",,,,
8,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-5308-Chicago-IL-60613/65561300_zpid/,"199,900","655 W Irving Park Rd APT 5308,"," Chicago, IL 60613",Condominium,1973,,800, 1, 1, 1,, Main, 63 ,,,,,," Windows(None),Flooring(Hardwood)", Main, 240 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood, Forced Air," Central Air, Zoned"," Range, Dishwasher, Refrigerator",,
9,https://www.zillow.com/homedetails/1368-N-Geneva-Dr-UNIT-2A-Palatine-IL-60074/80818123_zpid/,"105,000","1368 N Geneva Dr UNIT 2A,"," Palatine, IL 60074",Condominium,1990,,--, 2, 1, 1,, Second, 96 ," Eating Area-Breakfast Bar, Eating Area-Table Space",,,,," Windows(None),Flooring(Carpet)", Second, 216 , Separate," Windows(All),Flooring(Carpet)", Second,, None,, Electric, 2 (Window/Wall Unit)," Range, Dishwasher, Refrigerator", Storage,
