,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,int_lot,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door,Total_spaces,Parking_features,Garage_spaces,Covered_spaces,Lot_size2,Lot_features,Property_levels,patio/porch_feature,Zoning,Structure_style,Property_SubType,Construction_material,Foundation,Property_condition,New_construction
0,https://www.zillow.com/homedetails/104-S-Springinsguth-Rd-Schaumburg-IL-60193/3417664_zpid/,"325,000","104 S Springinsguth Rd,"," Schaumburg, IL 60193",Single Family Residence,1962,"10,010 sqft","1,529", 4, 3, 1, 2, Main, 132 , Pantry-Closet, Flooring(Ceramic Tile), Main, 110 ,, Flooring(Wood Laminate), Main, 156 , Separate, Flooring(Wood Laminate), Main,, None,," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,,, Garage - Attached,,," 10,010 sqft",, Two,,,, Single Family Residence," Vinyl Siding, Brick",,, No
1,https://www.zillow.com/homedetails/1333-N-Bosworth-Ave-APT-2-Chicago-IL-60642/87703033_zpid/,"369,900","1333 N Bosworth Ave APT 2,"," Chicago, IL 60642",Condominium,2004,,"1,083", 3, 2, 2,, Main, 84 , Eating Area-Table Space,,,,, Flooring(Hardwood), Main, 143 , Combined w/ LivRm, Flooring(Hardwood), Main, 0 , None," Hardwood, Some Wall-To-Wall Cp", Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Intercom", Storage,, 1, ,,,,,," Deck, Porch",,, Condominium," Brick, Block",,, No
2,https://www.zillow.com/homedetails/5349-W-Galewood-Ave-Chicago-IL-60639/89969872_zpid/,"449,900","5349 W Galewood Ave,"," Chicago, IL 60639",Single Family Residence,2008,"3,319 sqft","3,319", 5, 4, 3, 1, Main, 100 ," Eating Area-Breakfast Bar, Eating Area-Table Space, Island, Pantry-Closet, Granite Counters, Pantry"," Windows(None),Flooring(Hardwood)", Main, 182 ,," Windows(None),Flooring(Hardwood)", Main, 285 , Combined w/ LivRm," Windows(None),Flooring(Hardwood)", Main, 1106 ," Full,Partially Finished"," Hardwood, Some Wall-To-Wall Cp"," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Disposal, Humidifier"," Walk-In Closet(s), 9' Ceiling, 9' Ceilings, Granite Counters",, 2, Garage,, 2," 3,319 sqft", Sidewalks, 2.5 Story, Deck,," Contemporary,Traditional", Single Family Residence, Brick, Concrete Perimeter,, No
3,https://www.zillow.com/homedetails/10028-S-Commercial-Ave-Chicago-IL-60617/2070186828_zpid/,"199,500","10028 S Commercial Ave,"," Chicago, IL 60617",Multi Family,1918,,--, 6, 3, 3,,,,,,,,,,,,,,,," Full,Finished",," Natural Gas, Forced Air, Steam, Radiators",,,,, 2, Garage,, 2,,,, Porch,,, Multi Family,, Concrete Perimeter,, No
4,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-2812-Chicago-IL-60607/159467772_zpid/,"410,000","235 W Van Buren St UNIT 2812,"," Chicago, IL 60607",Condominium,2009,,"1,260", 2, 2, 2,, Main, 77 ," Eating Area-Breakfast Bar, Granite Counters",,,,," Windows(Blinds),Flooring(Hardwood)", Main, 357 , Combined w/ LivRm," Windows(Blinds),Flooring(Hardwood)", Main,, None," Hardwood, Some Wall-To-Wall Cp"," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal"," Doorman, Granite Counters, Lobby",, 2, Garage - Attached,, 2,,,,,,, Condominium," Glass, Concrete"," Concrete Perimeter, Reinforced Caisson",, No
5,https://www.zillow.com/homedetails/2451-Wood-St-River-Grove-IL-60171/3604481_zpid/,"334,900","2451 Wood St,"," River Grove, IL 60171",Single Family Residence,1930,"5,349 sqft","1,757", 5, 3, 2, 1, Main, 182 , Eating Area-Table Space, Flooring(Other), Basement, 540 ,, Flooring(Hardwood), Main, 240 , Separate, Flooring(Hardwood), Main,," Full,Walkout,Finished",, Steam, 2 (Window/Wall Unit)," Range, Refrigerator, Washer, Dryer",,, 1, Garage,, 1," 5,349 sqft",, One and One Half,,, Bungalow, Single Family Residence, Brick,,, No
6,https://www.zillow.com/homedetails/6-S-Laflin-St-APT-306S-Chicago-IL-60607/80857968_zpid/,"549,000","6 S Laflin St APT 306S,"," Chicago, IL 60607",Condominium,2002,,"1,800", 2, 2, 2,, Main, 80 , Island,,,,,, Main, 957 ,, Flooring(Hardwood), Main,, None,, Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,, 1, Garage - Attached,, 1,,,,,,, Condominium," Brick, Limestone", Concrete Perimeter,, No
7,https://www.zillow.com/homedetails/8517-W-87th-Pl-Hickory-Hills-IL-60457/2070186893_zpid/,"319,900","8517 W 87th Pl,"," Hickory Hills, IL 60457",Single Family Residence,1966,"10,053 sqft","1,092", 3, 2, 2,, Main, 110 ,, Flooring(Carpet), Lower, 208 ,, Flooring(Hardwood), Main, 210 , Combined w/ LivRm, Flooring(Hardwood), Main,," Partial,Finished",," Natural Gas, Forced Air", Central Air," Range, Microwave, Refrigerator",,, 2, Garage - Attached,, 2," 10,053 sqft",, Raised Ranch,,,, Single Family Residence," Vinyl Siding, Brick",,, No
8,https://www.zillow.com/homedetails/8166-168th-Pl-APT-3W-Tinley-Park-IL-60477/2075729020_zpid/,"165,000","8166 168th Pl APT 3W,"," Tinley Park, IL 60477",Condominium,1991,,"1,476", 2, 2, 2,, Main, 168 ,, Flooring(Carpet), Second, 448 ,," Windows(Blinds),Flooring(Carpet)", Main, 240 ,," Windows(Blinds),Flooring(Carpet)", Main,, None,," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s)", Vaulted/Cathedral Ceilings, Sliding Glass Door(s), 2, Garage,, 1,,,,,,, Condominium, Brick,,, No
9,https://www.zillow.com/homedetails/600-Mesa-Dr-14204-Hoffman-Estates-IL-60169/3409828_zpid/,"87,000","600 Mesa Dr #14204,"," Hoffman Estates, IL 60169",Condominium,1974,,750, 1, 1, 1,, Main, 40 ,,,,,,, Main, 120 ,,, Main,, None,, Electric, 1 (Window/Wall Unit),,," Sliding Doors, Sliding Glass Door(s)", 1, ,,,,,,,,, Condominium, Brick,,, No
