,1/2_brs,Address,LotSize,Neighborhood,SalePrice,Type,YearBlt,appliances,basement_area,basement_qual,bathrooms,bedrooms,cooling_desc,dining_area,dining_desc,dining_level,dining_misc,family_area,family_desc,family_level,famly_misc,fooring_desc,full_brs,heat_desc,interior_desc,interior_door,kitchen_area,kitchen_level,kitchen_misc,living_desc,living_level,url
0,,"7806 Cronin Ave,","10,410 sqft"," Justice, IL 60458","219,900",Single Family Residence,1955,,," None,Crawl", 1, 3, Central Air, 240 ,, Main,,,,,,, 1," Natural Gas, Forced Air",,, 168 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/7806-Cronin-Ave-Justice-IL-60458/3907220_zpid/
1,,"8455 N Leland Ave #103,",," Chicago, IL 60656","124,500",Condominium,1978," Range, Refrigerator",, None, 1, 1, 2 (Window/Wall Unit), 216 ," Windows(None),Flooring(Hardwood)", Main, Separate,,,,,, 1," Natural Gas, Steam",,, 77 , Main, Eating Area-Table Space, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/8455-N-Leland-Ave-103-Chicago-IL-60656/2074170670_zpid/
2, 1,"8587 Wyman Dr,","10,062 sqft"," Tinley Park, IL 60487","425,000",Single Family Residence,2002," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s), Humidifier",," Full,Unfinished", 3, 4, Central Air, 224 , Flooring(Carpet), Main, Combined w/ LivRm, 304 , Flooring(Carpet), Main,,, 2, Natural Gas, 1st Floor Bedroom,, 280 , Main," Eating Area-Table Space, Island", Flooring(Carpet), Main,https://www.zillow.com/homedetails/8587-Wyman-Dr-Tinley-Park-IL-60487/65543417_zpid/
3,,"1717 W North Ave UNIT 2E,",," Chicago, IL 60622","469,000",Condominium,No Data," Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer",, None, 2, 2, Central Air, 432 , Flooring(Hardwood), Main,,,,,,, 2, Natural Gas, Elevator,, 160 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/1717-W-North-Ave-UNIT-2E-Chicago-IL-60622/2089714131_zpid/
4,,"6445 S Claremont Ave,","3,136 sqft"," Chicago, IL 60636","180,000",Single Family Residence,1922," Range, Microwave, Refrigerator",," Full,Unfinished,Exterior Access", 1, 3, Central Air, 130 , Flooring(Ceramic Tile), Main, Combined w/ LivRm,,,,,, 1, Forced Air,,, 154 , Main,, Flooring(Ceramic Tile), Main,https://www.zillow.com/homedetails/6445-S-Claremont-Ave-Chicago-IL-60636/3994632_zpid/
5,,"8306 160th Pl APT 1W,",," Tinley Park, IL 60477","164,900",Condominium,1987," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",, None, 2, 2, Central Air, 240 , Flooring(Carpet), Main," Combined w/ LivRm, L-shaped",,,,,, 2," Natural Gas, Forced Air"," Storage, Flexicore",, 120 , Main," Eating Area-Table Space, Pantry-Closet", Flooring(Carpet), Main,https://www.zillow.com/homedetails/8306-160th-Pl-APT-1W-Tinley-Park-IL-60477/4193313_zpid/
6, 1,"2741 Caroline Dr,","10,018 sqft"," Homewood, IL 60430","255,000",Single Family Residence,1964,,," Full,Finished", 3, 4, Central Air, 260 ,, Main,, 260 ,, Main,," Hardwood, Some Carpeting", 2, Natural Gas, Walk-In Closet(s), Sliding Glass Door(s), 192 , Main,,, Main,https://www.zillow.com/homedetails/2741-Caroline-Dr-Homewood-IL-60430/4240820_zpid/
7, 1,"107 S Hamlin Ave,","5,619 sqft"," Park Ridge, IL 60068","899,000",Single Family Residence,1962,,," Full,Finished", 4, 6, Central Air, 195 , Flooring(Hardwood), Main,, 273 , Flooring(Hardwood), Main,," Hardwood, Some Carpeting", 3," Natural Gas, Forced Air"," 1st Floor Full Bath, Walk-In Closet(s), Open Floorplan", Panel Door(s), 247 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/107-S-Hamlin-Ave-Park-Ridge-IL-60068/3506876_zpid/
8,,"1237 N Artesian Ave,",," Chicago, IL 60622","475,000",Multi Family,1906,,," Full,Unfinished", 2, 3,,,,,,,,,,, 2, Natural Gas,,,,,,,,https://www.zillow.com/homedetails/1237-N-Artesian-Ave-Chicago-IL-60622/2089210025_zpid/
9,,"5000 N Marine Dr #6C,",," Chicago, IL 60640","167,900",Condominium,1923," Range, Microwave, Dishwasher, Refrigerator, Stainless Steel Appliance(s)",, None, 1, 1, Other, 336 , Flooring(Hardwood), Main, Separate,,,,, Hardwood, 1, Natural Gas," Walk-In Closet(s), 9' Ceiling",, 96 , Main," Eating Area-Breakfast Bar, Galley", Flooring(Hardwood), Main,https://www.zillow.com/homedetails/5000-N-Marine-Dr-6C-Chicago-IL-60640/2077203229_zpid/
10,,"850 N Dewitt Pl APT 6E,",," Chicago, IL 60611","204,900",Condominium,1959," Range, Dishwasher, Refrigerator, Stainless Steel Appliance(s)",, None, 1, 1, 2 (Window/Wall Unit), 247 , Flooring(Wood Laminate), Main, Combined w/ LivRm,,,,,, 1, Radiant," Elevator, Storage, Walk-In Closet(s)",, 80 , Main, Updated Kitchen, Flooring(Wood Laminate), Main,https://www.zillow.com/homedetails/850-N-Dewitt-Pl-APT-6E-Chicago-IL-60611/3852325_zpid/
11,,"420 Haber Ct,","7,492 sqft"," Melrose Park, IL 60164","249,000",Single Family Residence,1952," Microwave, Dishwasher, Refrigerator, Washer, Dryer, Cooktop, Built-In Oven",," None,Crawl", 2, 3, Central Air, 182 ," Windows(Window Treatments),Flooring(Hardwood)", Main, Separate, 299 ," Windows(Window Treatments),Flooring(Vinyl)", Second,, Hardwood, 2, Natural Gas," 1st Floor Bedroom, 1st Floor Full Bath, Built-in Features, Walk-In Closet(s)",, 180 , Main, Eating Area-Table Space," Windows(Window Treatments),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/420-Haber-Ct-Melrose-Park-IL-60164/3611931_zpid/
12,,"309 22nd Ave,","3,659 sqft"," Bellwood, IL 60104","149,900",Single Family Residence,1923,,," Full,Unfinished", 1, 4, None, 132 , Flooring(Hardwood), Main, Separate,,,,,, 1," Natural Gas, Forced Air",,, 110 , Main, Pantry-Walk-in, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/309-22nd-Ave-Bellwood-IL-60104/3757104_zpid/
13,,"1521 N Lawndale Ave,","3,092 sqft"," Chicago, IL 60651","119,900",Single Family Residence,1890,, 900 ," Full,Unfinished", 1, 2, None, 210 ,, Main, Kitchen/Dining Combo,,,,,, 1, Space Heater,,, 169 , Main,,, Main,https://www.zillow.com/homedetails/1521-N-Lawndale-Ave-Chicago-IL-60651/3793296_zpid/
14,,"133 W Palatine Rd UNIT 106A,",," Palatine, IL 60067","309,900",Condominium,2005," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s)",," Full,Storage Space", 2, 2, Central Air, 300 ," Windows(Blinds),Flooring(Hardwood)", Main, Combined w/ LivRm,,,,," Hardwood, Some Carpeting, Some Wood Floors", 2," Natural Gas, Forced Air"," Elevator, Storage, Flexicore, Walk-In Closet(s), 9' Ceiling, Open Floorplan, Dining Combo", Sliding Doors, 165 , Main, Eating Area-Table Space," Windows(Blinds),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/133-W-Palatine-Rd-UNIT-106A-Palatine-IL-60067/80851422_zpid/
15,,"2900 W Lexington St,",," Chicago, IL 60612","599,900",Multi Family,No Data,,," Full,Finished", 4, 8,,,,,,,,,,, 4, Natural Gas,,,,,,,,https://www.zillow.com/homedetails/2900-W-Lexington-St-Chicago-IL-60612/2125307831_zpid/
16,,"956 W Cuyler Ave APT G,",," Chicago, IL 60613","225,000",Condominium,No Data," Range, Dishwasher, Refrigerator, Washer, Dryer",, None, 1, 2, Central Air, 110 , Flooring(Porcelain Tile), Main, Combined w/ LivRm,,,,,, 1," Natural Gas, Forced Air"," 1st Floor Bedroom, 1st Floor Full Bath, Storage",, 60 , Main,, Flooring(Porcelain Tile), Main,https://www.zillow.com/homedetails/956-W-Cuyler-Ave-APT-G-Chicago-IL-60613/70460627_zpid/
17,,"8920 S Carpenter St,","4,373 sqft"," Chicago, IL 60620","95,000",Single Family Residence,1954,,, None, 1, 3, None, 204 , Flooring(Vinyl), Main,, 182 , Flooring(Wood Laminate), Main,,, 1," Natural Gas, Forced Air",,, 143 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/8920-S-Carpenter-St-Chicago-IL-60620/4121240_zpid/
18, 1,"1567 Ridge Ave APT 604,",," Evanston, IL 60201","280,000",Condominium,1969," Range, Microwave, Dishwasher, Refrigerator",," Full,Partially Finished", 3, 3, 3+ (Window/Wall Unit), 315 ," Windows(None),Flooring(Hardwood)", Main, Separate,,,,, Hardwood, 2," Natural Gas, Steam, Baseboard"," Storage, Bookcases",, 132 , Main, Eating Area-Breakfast Bar," Windows(Curtains/Drapes),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/1567-Ridge-Ave-APT-604-Evanston-IL-60201/3564067_zpid/
19,,"5230 N Kenmore Ave APT 3A,",," Chicago, IL 60640","475,000",Condominium,2001," Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Cooktop, Range Hood",, None, 2, 3, Central Air, 260 , Flooring(Hardwood), Main, Combined w/ LivRm,,,,, Hardwood, 2, Radiant, Storage,, 90 , Main," Eating Area-Breakfast Bar, Custom Cabinetry, Granite Counters", Flooring(Hardwood), Main,https://www.zillow.com/homedetails/5230-N-Kenmore-Ave-APT-3A-Chicago-IL-60640/2146790654_zpid/
20,,"1607 S Saint Louis Ave,",," Chicago, IL 60623","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zillow.com/homedetails/1607-S-Saint-Louis-Ave-Chicago-IL-60623/158720220_zpid/
21,,"(Undisclosed Address),","10,105 sqft"," Burbank, IL 60459","195,000",Single Family Residence,1954,,," Full,Unfinished", 2, 3, Central Air, 100 ,, Main,,,,,,, 2," Natural Gas, Electric",,, 81 , Main,,, Main,https://www.zillow.com/homedetails/Burbank-IL-60459/3968002_zpid/
